,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
0,13/08/2021,Brentford,Arsenal,2,0,H
1,14/08/2021,Man United,Leeds,5,1,H
2,14/08/2021,Burnley,Brighton,1,2,A
3,14/08/2021,Chelsea,Crystal Palace,3,0,H
4,14/08/2021,Everton,Southampton,3,1,H
5,14/08/2021,Leicester,Wolves,1,0,H
6,14/08/2021,Watford,Aston Villa,3,2,H
7,14/08/2021,Norwich,Liverpool,0,3,A
8,15/08/2021,Newcastle,West Ham,2,4,A
9,15/08/2021,Tottenham,Man City,1,0,H
10,21/08/2021,Liverpool,Burnley,2,0,H
11,21/08/2021,Aston Villa,Newcastle,2,0,H
12,21/08/2021,Crystal Palace,Brentford,0,0,D
13,21/08/2021,Leeds,Everton,2,2,D
14,21/08/2021,Man City,Norwich,5,0,H
15,21/08/2021,Brighton,Watford,2,0,H
16,22/08/2021,Southampton,Man United,1,1,D
17,22/08/2021,Wolves,Tottenham,0,1,A
18,22/08/2021,Arsenal,Chelsea,0,2,A
19,23/08/2021,West Ham,Leicester,4,1,H
