Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
28/09/2019,Tottenham,Southampton,2,1,H
28/09/2019,Wolves,Watford,2,0,H
28/09/2019,Everton,Man City,1,3,A
29/09/2019,Leicester,Newcastle,5,0,H
30/09/2019,Man United,Arsenal,1,1,D
05/10/2019,Brighton,Tottenham,3,0,H
05/10/2019,Burnley,Everton,1,0,H
05/10/2019,Liverpool,Leicester,2,1,H
05/10/2019,Norwich,Aston Villa,1,5,A
05/10/2019,Watford,Sheffield United,0,0,D
05/10/2019,West Ham,Crystal Palace,1,2,A
06/10/2019,Arsenal,Bournemouth,1,0,H
06/10/2019,Man City,Wolves,0,2,A
06/10/2019,Southampton,Chelsea,1,4,A
06/10/2019,Newcastle,Man United,1,0,H
19/10/2019,Everton,West Ham,2,0,H
19/10/2019,Aston Villa,Brighton,2,1,H
19/10/2019,Bournemouth,Norwich,0,0,D
19/10/2019,Chelsea,Newcastle,1,0,H
19/10/2019,Leicester,Burnley,2,1,H
19/10/2019,Tottenham,Watford,1,1,D
19/10/2019,Wolves,Southampton,1,1,D
19/10/2019,Crystal Palace,Man City,0,2,A
20/10/2019,Man United,Liverpool,1,1,D
21/10/2019,Sheffield United,Arsenal,1,0,H
25/10/2019,Southampton,Leicester,0,9,A
26/10/2019,Man City,Aston Villa,3,0,H
26/10/2019,Brighton,Everton,3,2,H
26/10/2019,Watford,Bournemouth,0,0,D
26/10/2019,West Ham,Sheffield United,1,1,D
26/10/2019,Burnley,Chelsea,2,4,A
27/10/2019,Newcastle,Wolves,1,1,D
27/10/2019,Arsenal,Crystal Palace,2,2,D
27/10/2019,Liverpool,Tottenham,2,1,H
27/10/2019,Norwich,Man United,1,3,A
02/11/2019,Bournemouth,Man United,1,0,H
02/11/2019,Arsenal,Wolves,1,1,D
02/11/2019,Aston Villa,Liverpool,1,2,A
02/11/2019,Brighton,Norwich,2,0,H
02/11/2019,Man City,Southampton,2,1,H
02/11/2019,Sheffield United,Burnley,3,0,H
02/11/2019,West Ham,Newcastle,2,3,A
02/11/2019,Watford,Chelsea,1,2,A
03/11/2019,Crystal Palace,Leicester,0,2,A
03/11/2019,Everton,Tottenham,1,1,D
08/11/2019,Norwich,Watford,0,2,A
09/11/2019,Chelsea,Crystal Palace,2,0,H
09/11/2019,Burnley,West Ham,3,0,H
09/11/2019,Newcastle,Bournemouth,2,1,H
09/11/2019,Southampton,Everton,1,2,A
09/11/2019,Tottenham,Sheffield United,1,1,D
09/11/2019,Leicester,Arsenal,2,0,H
10/11/2019,Man United,Brighton,3,1,H
10/11/2019,Wolves,Aston Villa,2,1,H
10/11/2019,Liverpool,Man City,3,1,H
23/11/2019,West Ham,Tottenham,2,3,A
23/11/2019,Arsenal,Southampton,2,2,D
23/11/2019,Bournemouth,Wolves,1,2,A
23/11/2019,Brighton,Leicester,0,2,A
